title,content
Active Directory Group Policy Hierarchy,"In AD, group policies are processed according to hierarchy (LSDOU)<br><b>L - Local Policy</b>: FIRST policy that it processes, every higher policy override settings at this level.<br><b>S - Site Policy</b>: Less often used. To group settings by location (e.g. SG, Europe, etc.)<br><b>D - Domain Policy</b>: To deploy GPOs to all users/computers of a domain.<br><b>OU - Organizational Unit</b>: FINAL policy processed. OVERRIDES all other lower settings. Linking to an OU is preferred method to deploy GPOs. Different OUs can be created for different teams/departments."
Basic NTFS permissions,"Full Control, Modify, Read & execute, Read, Write, Special permissions"
Central Processing Unit (CPU),"Central Processing Unit (CPU) consists of 3 basic components:<br><ul><li><b>CPU Register</b> - A special, high-speed storage area within the CPU, holds instructions, storage address, or any kind of data.</li><li><b>Arithmetic-logic unit (ALU)</b> - Does artithmetic and logical operations.</li><li><b>Control Unit</b> - Tells the ALU what operation to perform on the data found in the input register, as well as to store the computed result in an output register. Moves the data between input, output register, ALU, and memory</li></ul>"
Clock Speed,"Also referred as clock rate, CPU frequency.<br><br>More on frequency:<ul><li>Frequency is the number of occurrences of a repeating cycle per unit time</li><li>Frequency is measured in Hertz(Hz)</li><li>The repeating event is known as a period</li></ul><br>Analogy: If a computer is a car, then the CPU is the engine. The higher the clock speed, the faster the car will be."
CPU Cache,"<ul><li>CPU Cache is a small and fast memory used by CPU to reduce time to access data from the main memory, another name for main memory is Random-Access Memory (RAM). It stores copies of frequently used data.</li><li>When processor needs data, it first checks whether a copy of that data is in the cache (faster to get from cache than RAM)</li><li>L1, L2 cache owned by each core, L3 cache shared by all cores</li><li>A large cache can increase computer performance in general but there are other considerations: read latency (time to search for content), cache coherency (consistency in content between RAM and cache)</li></ul>"
CPU Speed Calculation,"<ul><li>CPU Speed is the number of calculations/ instructions it can process in one second (depends on clock speed and cores and cache).</li><li>For example, a dual core 3.0 GHz processor would be capable of running faster than a single core 3.0 GHz processor. Although both have the same clock speed, but the dual core processor can perform more calculations as it has two cores.<li></ul><br><b>Calculation Example</b><br><img src='data/images/C228_CPU_Calc.jpg'>"
Data at Rest Meaning,"Data that is being stored in a storage medium. E.g., employee records in database tables, Office documents (Word, Excel, PowerPoint) on a company server."
Data at Rest Security Risks,"Lost / stolen / leaked devices with confidential data, data corruption from human error / unauthorized changes / hardware failure."
Data at Rest Solutions,"Backups and Disaster Recovery (DR), protect against hardware failures and data corruption but not data leaks.<br>File and folder encryption / Volume encryption"
Data in Motion Meaning,"Data being sent over a communication channel. E.g., web pages sent to browsers, files copied to/from network shared folders."
