title,content
5 GHz VS 2 GHz,"5 GHz higher bandwidth, more channels and less crowded than 2.4 GHz, but range lower. 2.4 GHz range higher but slower bandwidth, fewer channels and more crowded."
2019-ESE-Q1,"Figure 1 shows 4 PCs (PC1, PC2, PC3 and PC4) with their MAC addresses shown are connected to a switch. Currently, the switch has only 1 entry in its MAC address table.<br><br><img src='data/images/C328_2019_ESE_Q1.png'><br><br>Please refer to Figure 1 for all the following questions.<ol><li>What happens to the Switch MAC address table when PC4 sends a frame addressed to PC3?</li><table class='red'><td>The MAC address table will be updated with the MAC address of PC4 and its connected port.</td></table><li>What action will the switch do when PC3 sends a frame addressed to PC1?</li><table class='red'><td>The switch will flood this frame to all other ports (1, 4, 12)</td></table><li>What destination MAC address will PC2 use to send a frame to all the PCs?</li><table class='red'><td>The destination MAC address is the broadcast address FFFF.FFFF.FFFF</td></table></ol>"
802.11 Standards,"802.11 - 2.4 GHz, up to 2 Mbps. 802.11a - 5 GHz, up to 54 Mbps, small coverage, not interoperable w. 802.11b and 802.11g. 802.11b - 2.4 GHz, up to 11 Mbps, longer range than 802.11a. 802.11g - 2.4 GHz, up to 54 Mbps, backwards compatible w. 802.11b w. reduced bandwidth capacity. 802.11n - 2.4 & 5 GHz, range from 150 Mbps to 600 Mbps, up to 70m range, APs & clients need multiple antennas using MIMO technology, backwards compatible w. 802.11a/b/g devices w. limiting data rates. 802.11ac - 5 GHz, range from 450 Mbps to 1.3 Gbps using MIMO technology, backwards compatible with 802.11a/n devices. 802.11ax - 2.4 & 5 GHz, a.k.a. Wi-Fi 6 or High-Efficiency Wireless (HEW), better power efficncy., higher data rates, handle many devices. Will use 1 & 7 GHz when available."
802.1X,"Client - Supplicant, Switch - Authenticator, Authentication Server"
A company uses a cloud-based payroll system. Which cloud computing technology is this company using?,Software as a service (SaaS)
AAA,"Authentication, Authorization, Accounting.  Authentication - Usernames and passwords to verify the user's identity. Authorization - Controls what users can and cannot do on the network. Accounting - Collects and reports usage data, for auditing or billing. Uses TACAS+ and RADIUS to authenticate users on a central db."
Access Internet,Any address with the 10 in the first octet (e.g. 10.0.10.0) is private IPv4 and need to use Network Address Translation (NAT) to convert private IPv4 address to internet-routable IPv4 addresses.
Access port ,A switch port that sends and expects traffic with no VLAN tag. Only for 1 vlan.port send/expects to receive tagged traffic. 
Advantage of Cisco Router as relay agent ,"Provides relay services for multiple UDP services, e.g. Port 37 Times, Port 53 DNS, etc."
Alleviate Network Congestion,"Fast port speeds - more data transfer per second, but more expensive; Fast internal switching - fast internal bus or shared memory; Large frame buffers - Store more frames instead of drop them, good for duplex mismatch. High port density - more ports, local traffic, less switches needed, less collisions.<br>Related questions:<i><ul><li>Which switch characteristic helps keep traffic local and alleviates network congestion?</li></ul></i>"
